"The Secret Doctrine, Vol. 3 of 4",Helena Petrovna Blavatsky,56880
The eleventh hour in the life of Julia Ward Howe,Maud Howe Elliott  ,56877
New Amazonia,Elizabeth Burgoyne Corbett                             ,56876
"The History of Mary I, Queen of England",Jean Mary Stone,56875
Psychology and parenthood,H. Addington Bruce,56873
Minerva's Manoeuvres,Charles Battell Loomis,56872
Tales from Gorky,Maxim Gorky,56870
The Art of Being Happy,Joseph Droz,56869
The Boy Traders,Harry Castlemon,56868
Haapaniemen keinu,Maila Talvio                                      ,56867
Early London,Walter Besant,56865
"Captain Billy's Whiz Bang, Vol. 2. No. 17, February, 1921",Various,56864
Onkel Toms Hytte,Harriet Beecher Stowe,56863
Market Harborough and Inside the Bar,G. J. Whyte-Melville,56862
Gambolling with Galatea: a Bucolic Romance,Curtis Dunham,56861
Heart of Europe,Ralph Adams Cram                                    ,56858
Journal of a Cavalry Officer,William Wellington Waterloo Humbley,56853
Time and Free Will,Henri Bergson,56852
Shakspeare's Mental Photographs,Anonymous,56851
The Night the Mountain Fell,Edmund Christopherson,56850
Camp Fire Girls in War and Peace,Isabel Hornibrook,56849
What Every Mother Should Know,Margaret H. Sanger,56846
"Harper's Round Table, April 28, 1896",Various,56845
Silanus the Christian,Edwin A. Abbott,56843
Herodoti Historiarum Libri IX,Herodotus,56842
The Disappearing Eye,Fergus Hume,56841
"Harper's Young People, April 25, 1882",Various,56840
"The Century Illustrated Monthly Magazine, July, 1913",Various,56839
The Saintsbury Affair,Roman Doubleday                               ,56838
The Polly Page Yacht Club,Izola L. Forrester,56834
Naturalistic Photography,P. H. Emerson,56833
The London Burial Grounds,Isabella M. Holmes,56832
The King of the Park,Marshall Saunders,56831
The Flags of our Fighting Army,Stanley C. Johnson,56830
Corsica,Ernest Young,56829
Plain Tales of the North,Thierry Mallet,56828
Whitewash,Horace Annesley Vachell,56827
Good Form for All Occasions,Florence Howe Hall,56824
"Winnetou, The Apache Knight",Marion Ames Taggart,56823
The Philosophy of Mystery,Walter Cooper Dendy,56822
The Babes in the Basket,Sarah S. Baker,56819
The American Printer: A Manual of Typography,Thomas MacKellar,56817
Hints on Driving,C. Morley Knight,56816
More Stories of Married Life,Mary Stewart Cutting,56813
"A History of the Peninsular War, Vol. 4",Charles Oman,56812
Ivar the Viking,Paul Belloni Du Chaillu,56810
Turgenev,Edward Garnett,56809
Physical Amusements and Diverting Experiments,Giuseppe Pinetti,56803
"Harper's Round Table, April 21, 1896",Various,56802
Romantic Canada,Victoria Hayward                                    ,56800
The Invaders and other Stories,Leo Tolstoy,56797
1000 Things Worth Knowing,Nathaniel C. Fowler,56796
The Story-book of Science,Jean-Henri Fabre,56795
A Year in a Yawl,Russell Doubleday,56792
"St. Patrick, The Father of a Sacred Nation",J. F. Loughlin,56791
The Travels of Fuzz and Buzz,Geraldine Mockler,56790
7 to 12,Anna Katharine Green                                        ,56787
The Theory and Practice of Brewing,Michael Combrune,56784
Thrills of a Bell Boy,Samuel Ellsworth Kiser,56783
The Hemlock Avenue Mystery,Roman Doubleday,56780
The Erotic Motive in Literature,Albert Mordell,56779
The Evolution of Naval Armament,Frederick Leslie Robertson,56777
"Practical Hand Book of Gas, Oil and Steam Engines",John B. Rathbun  ,56776
Baconian Essays,Edward Walter Smithson                              ,56774
The Polly Page Ranch Club,Izola Louise Forrester,56773
The Land of Riddles,Hugo Ganz,56772
"Harper's Young People, April 18, 1882",Various,56771
Im Hause des Kommerzienrates,Eugenie Marlitt                        ,56769
"Scribner's Magazine, Volume 26, August 1899",Various,56768
Those Other Animals,G. A. Henty,56767
"Harper's Round Table, April 14, 1896",Various,56766
The Bashful Earthquake,Oliver Herford                               ,56765
The House of Orchids and Other Poems,George Sterling                ,56764
North Italian Folk,Alice Vansittart Strettel Carr                   ,56763
"Wild Life in New Zealand. Part 1, Mammalia",George M. Thomson,56762
"Universal Brotherhood, Volume 13, No. 10, January 1899",Various,56761
A Chance for Himself,J. T. Trowbridge,56759
Anton Tchekhov,Lev Shestov,56758
The Young Book Agent,Horatio Alger,56756
Satanella,G. J. Whyte-Melville and Lucy E. Kemp-Welch,56753
Double Play,Ralph Henry Barbour,56752
The Jolly Book of Boxcraft,Patten Beard,56751
Tarry thou till I come,George Croly,56750
Little Stories of Married Life,Mary Stewart Cutting,56748
