title,author,number
The Square Root of 8,"('Robert Nemiroff', 'Jerry Bonnell')",632
The Square Root of 7,"('Robert Nemiroff', 'Jerry Bonnell')",631
The Square Root of 6,"('Robert Nemiroff', 'Jerry Bonnell')",630
The Square Root of 5,"('Robert Nemiroff', 'Jerry Bonnell')",629
The Square Root of 3,"('Robert Nemiroff', 'Jerry Bonnell')",628
Essays of Travel,Robert Louis Stevenson,627
The Philobiblon of Richard de Bury,Richard de Bury,626
Ponkapog Papers,Thomas Bailey Aldrich,625
Looking Backwards from 2000 to 1887,Edward Bellamy,624
"The Battle of the Books, and Other Short Pieces",Jonathan Swift,623
Letters of Robert Louis Stevenson,Volume 1,622
The Varieties of Religious Experiance,William James,621
Sylvie and Bruno,Lewis Carroll,620
The Warden,Anthony Trollope,619
Codex Junius 11,Unknown,618
Poems,Alan Seeger,617
"Prayers Written At Vailima, and A Lowden Sabbath Morn,                     616\r\",Robert Louis Stevenson,NaN
Orlando Furioso,Lodovico Ariosto,615
Across the Plains,Robert Louis Stevenson,614
The Constitution of the Empire of Japan,1889,613
The Constitution of Japan,1946,612
Prester John,John Buchan,611
Idylls of the King,"Alfred, Lord Tennyson",610
America Through the Spectacles of an Oriental Diplomat,Wu Tingfang,609
Areopagitica,John Milton,608
The Augsberg Confession,Philip Melancthon,607
Indian Why Stories,Frank Bird Linderman,606
Pellucidar,Edgar Rice Burroughs,605
Gulliver of Mars,Edwin L. Arnold,604
Letters of George Borrow,George Borrow,603
Pharsalia; Dramatic Episodes of the Civil Wars,Lucan,602
"The Monk, a romance",M. G. Lewis,601
Notes from the Underground,Feodor Dostoevsky,600
Vanity Fair,William Makepeace Thackeray,599
"Heimskringla, or the Chronicle of the Kings of Norway",Snorri Sturluson,598
Njal\'s Saga,Unknown,597
Rivers to the Sea,Sara Teasdale,596
The Sisters\' Tragedy,Thomas Bailey Aldrich,595
Twilight Stories,Various,594
Selected Writings of Guy de Maupassant,Volume 1,593
The Chinese Nightingale and Other Poems,Vachel Lindsay,592
Flame and Shadow,Sara Teasdale,591
Robert Louis Stevenson,Alexander H. Japp,590
Catriona,Robert Louis Stevenson,589
Master Humphrey\'s Clock,Charles Dickens,588
Danny\'s Own Story,Don Marquis,587
"Religio Medici, Hydriotaphia, et al",Thomas Browne,586
Running a Thousand Miles for Freedom,"('William', 'Ellen Craft')",585
Our Nig,Harriet E. Wilson,584
The Woman in White,Wilkie Collins,583
A Collection of Beatrix Potter Stories,,582
Ginx\'s B,", A Satire,",NaN
The Pickwick Papers,Charles Dickens,580
Down with the Cities,Tadashi Nakashima 578C,NaN
The Works of Samuel Johnson,Vol. 4 of,16
Tales from Shakespeare,"('Charles', 'Mary Lamb')",573
1995 CIA World Factbook,United States Central Intelligence Agency,571
The Moravians in Georgia,Adelaide L. Fries,570
"The Complete Works of Brann, the Iconoclast, Vol. 12,                      569\r\",William Cowper Brann,NaN
"The Complete Works of Brann, the Iconoclast, Vol. 10,                      568\r\",William Cowper Brann,NaN
"The Complete Works of Brann, the Iconoclast, Vol. 1,                       567\r\",William Cowper Brann,NaN
The History of the Thirty Years\' War,Friedrich Schiller,566
