title,author,number
"Cecilia, Volume 3 (of 3)",Frances (Fanny) Burney,7152
Clelia,Giuseppe Garibaldi,7151
Science and Education,Thomas H. Huxley,7150
The Poetical Works of Henry Kirke White,Henry Kirke White,7149
Lectures on Dramatic Art,A. W. Schlegel [?ldalxxx.xxx],7148
"Cecilia, Vol. 2 of 3, Memoirs of an Heiress",Frances Burney,7146
The Book of the Dead,E. A. Wallis Budge [#2][?bkddxxx.xxx],7145
The Strange Cabin on Catamount Island,Lawrence J. Leslie,7143
History of the Peloponnesian War,Thucydides [plpwrxxx.xxx],7142
Suburban Sketches,William Dean Howells,7141
"The Great Conspiracy, Complete",John Alexander Logan,7140
The Purple Land,W. H. Hudson,7132
"The History of the United States from 1492 to 1910, Volume 1,             7131\r\",Julian Hawthorne,NaN
London Films,William Dean Howells,7130
The Prospective Mother,J. Morris Slemons [pmothxxx.xxx],7129
Indian Fairy Tales,Joseph Jacobs,7128
Malcolm,George MacDonald [#27][malcmxxx.xxx],7127
Catherine Booth,Mildred Duff,7125
The Coral Island,R. M. Ballantyne,7124
Home Vegetable Gardening,F. P. Rockwell [?hmvgxxx.xxx],7123
Da Firenze a Digione,Ettore Socci,7121
"Knock, Knock, Knock and Other Stories",Ivan Turgenev,7120
The Dolliver Romance,Nathaniel Hawthorne,7119
What Maisie Knew,Henry James,7118
Vestiges of the Natural History of Creation,Robert Chambers,7116
Giant Hours With Poet Preachers,William L. Stidger[?ghppxxx.xxx],7115
"Une Vie, A Piece of String and Other Stories",Guy de Maupassant,7114
"The Land of Midian, Vol. 2",Richard Burton,7113
Erema,R. D. Blackmore,7112
"The Land of Midian, Vol. 1",Richard Burton,7111
Rose and Roof-Tree,George Parsons Lathrop,7110
Candido,o El Optimismo,NaN
Scarborough and the Critic,Richard B. Sheridan,7108
"Adventures of Huckleberry Finn, Part 8",Mark Twain,7107
"Adventures of Huckleberry Finn, Part 7",Mark Twain,7106
"Adventures of Huckleberry Finn, Part 6",Mark Twain,7105
"Adventures of Huckleberry Finn, Part 5",Mark Twain,7104
"Adventures of Huckleberry Finn, Part 4",Mark Twain,7103
"Adventures of Huckleberry Finn, Part 3",Mark Twain,7102
"Adventures of Huckleberry Finn, Part 2",Mark Twain,7101
"Adventures of Huckleberry Finn, Part 1",Mark Twain,7100
A Trip to Manitoba,Mary FitzGibbon,7099
"Tales of the Enchanted Islands of the Atlantic,                           7098\r\",Thomas Wentworth Higginson,NaN
Autobiography of Ma-ka-tai-me-she-kia-kiak,or Black Hawk,7097
B,"lonian Story of the Deluge, E. A. Wallis Budge",7096
Malayan Literature,Various,7095
Don Quixote,Miguel de Cervantes 7094C,NaN
"String Quartet E Minor, Op. 59, No. 2",Ludwig van Beethoven,7093
"String Quartet F Major, Op. 59, No. 1",Ludwig von Beethoven,7092
The Yosemite,John Muir,7091
The Little Immigrant,Eva Stern,7090
The Consolidator,Daniel Defoe,7089
The Pilgrim\'s Progess in Words of One Syllable,Mary Godolphin,7088
Gaut Gurley,D. P. Thompson,7087
"Life of Her Most Gracious Majesty the Queen, Vol. 2",Sarah Tytler,7086
Fanshawe,Nathaniel Hawthorne,7085
A Girl Among the Anarchists,Isabel Meredith,7084
Venetian Life,William Dean Howells,7083
Lives of the Necromancers,William Godwin,7082
The Motor Girls on Cedar Lake,Margaret Penrose,7081
"Speeches on Questions of Public Policy, Volume 1",John Bright,7080
The Companions of Jehu,Alexandre Dumas,7079
Kanteletar,mennessä Various,7078
We Can\'t Have Everything,Rupert Hughes,7077
Prisoner for Blasphemy,George William Foote,7076
The Idol of Paris,Sarah Bernhardt,7075
Beauty and the Beast,Marie Le Prince de Beaumont,7074
Specimens of Greek Tragedy,Goldwin Smith,7073
Tramping in Mexico,Harry A. Franck,7072
In Times of Peril,G. A. Henty,7071
The Treasure of the Incas,G. A. Henty,7070
Expositions of Holy Scripture,Alexander Maclaren,7069
Das Haidedorf,durch Adalbert Stifter,7068
The Magnificent Lovers (Les Amants magnifiques),Molière,7067
Under the Prophet in Utah,"('Frank J. Cannon', ""Harvey J. O\\'Higgins"")",7066
Children of the Bush,Henry Lawson,7065
"A Half-Century of Conflict, Vol. 2",F. Parkman,7064
A Terrible Secret,May Agnes Fleming,7063
A Daughter of Fife,Amelia Edith Barr,7062
A March on London,G. A. Henty,7061
At Agincourt,G. A. Henty,7060
Peregrine\'s Progress,Jeffery Farnol,7059
Mankind in the Making,H. G. Wells,7058
David Poindexter\'s Disappearance and Other Tales,Julian Hawthorne,7057
Along the Shore,Rose Hawthorne Lathrop,7056
Gone to Earth,Mary Webb,7055
"Worlds Best Histories: France, Vol. 7",M. Guizot,7054
Pages from a Journal with Other Papers,Mark Rutherford,7053
Dr. Heidenhoff\'s Process,Edward Bellamy,7052
Good News of God,Charles Kingsley,7051
The Swoop! or How Clarence Saved England,P. G. Wodehouse,7050
Rückblicke,durch Dr. rer. pol. Walter Grünfeld 7049C,NaN
Triumph of the Egg and Other Stories,Sherwood Anderson,7048
Back To Billabong,Mary Grant Bruce,7047
Annals and Reminiscences of Jamaica Plain,Harriet Manning Whitcomb,7046
Marching Men,Sherwood Anderson,7045
In the Courts of Memory 1858-1875,L. de Hegermann-Lindencrone,7044
Der Kaufmann von Venedig,durch William Shakespeare,7043
Discipline,Charles Kingsley,7042
Wie es euch gefallt,durch William Shakespeare,7041
Paula the Waldensian,Eva Lecomte,7040
"The Angel Adjutant of ""Twice Born Men""",Minnie L. Carpenter,7039
Personal Experiences of S. O. Susag,S. O. Susag,7038
Beric the Briton,G. A. Henty,7037
The Poorhouse Waif and His Divine Teacher,Isabel C. Byrum,7036
The Hero of Hill House,Mable Hale,7035
Fleurs de lys and Other Poems,Arthur Weir,7034
Picturesque Quebec,James MacPherson Le Moine,7033
Prose Idylls,Charles Kingsley,7032
The Sheik,E. M. Hull,7031
Field and Hedgerow,Richard Jefferies,7030
"Book of Etiquette, Volume 2",Lillian Eichler Watson,7029
The Clicking of Cuthbert,P. G. Wodehouse,7028
A Hive of Busy Bees,Effie M. Williams,7027
Children\'s Edition of Touching Incidents and Remarkable Answers           7026\r\n to Prayer,S. B. Shaw,NaN
"Rob Roy, Complete, Illustrated",Sir Walter Scott,7025
"Rob Roy, Volume 2",Sir Walter Scott,7024
"Rob Roy, Volume 1",Sir Walter Scott,7023
Ein Sommernachtstraum,durch William Shakespeare,7022
Indian Frontier Policy,General Sir John Ayde,7021
Louis Agassiz as a Teacher,Lane Cooper,7020
For Auld Lang Syne,Ray Woodward,7019
A Collection of Scotch Proverbs,Anonymous,7018
A Study in Tinguian Folk-Lore,Fay-Cooper Cole,7017
Adventures in the Land of Canaan,Robert Lee Berry,7016
Buddhist Psalms,Shinran Shonin,7015
"Personal Narrative of Travels to the Equinoctial Regions of America,      7014\r\n During the Year 1799-1804, Volume 2",Alexander Von Humboldt,NaN
"Journeys Through Bookland, Vol. 4",Charles H. Sylvester,7013
Mes Origines. Memoires et Recits,par Frederic Mistral,7012
The Flood,Émile Zola,7011
Graded Lessons in English,"('Alonzo Reed', 'Brainerd Kellogg')",7010
Monsieur De Pourceaugnac,Molière,7009
The City of Fire,Grace Livingston Hill Lutz,7008
The True Story of My Life,Hans Christian Andersen,7007
Bonnie Prince Charlie,G. A. Henty,7006
"The Antiquary, Complete, Illustrated",Sir Walter Scott,7005
"The Antiquary, Vol. 2",Sir Walter Scott,7004
"The Antiquary, Vol. 1",Sir Walter Scott,7003
"The Life of George Washington, Volume I",Washington Irving,7002
"History of the Philippine Islands, Vol. 1 and 2",Antonio de Morga,7001
The Kalevala,mennessä Elias Lönnrot,7000
How to Live a Holy Life,C. E. Orr,6999
The Spanish Chest,Edna A. Brown,6998
The Winning of Barbara Worth,Harold Bell Wright,6997
Romeo und Julia,durch William Shakespeare,6996
Ghosts I have Met and Some Others,John Kendrick Bangs,6995
Han d\'Islande,par Victor Hugo,6994
The Lord of the Sea,M. P. Shiel,6993
Belinda,A. A. Milne,6992
Across the Years,Eleanor H. Porter,6991
Coriolanus,durch William Shakespeare,6990
"History of Rome from the Earliest times down to 476 AD,                   6989\r\",Robert F. Pennell,NaN
"History of the Ottawa and Chippewa Indians of Michigan,                   6988\r\",Andrew J. Blackbird,NaN
Five Little Peppers Abroad,Margaret Sidney,6987
Hygienic Physiology,Joel Dorman Steele,6986
A Prefect\'s Uncle,P. G. Wodehouse,6985
The Pothunters,P. G. Wodehouse,6984
Missionary Work Among The Ojebway Indians,Edward Francis Wilson,6983
Hawthorne and His Circle,Julian Hawthorne,6982
The Open Air,Richard Jefferies,6981
Tales of St. Austin\'s,P. G. Wodehouse,6980
The Little Regiment,Stephen Crane,6979
Made-Over Dishes,S. T. Rorer,6978
Flying for France,James R. McConnell,6977
Metlakahtla and The North Pacific Mission,Eugene Stock,6976
Macbeth,durch William Shakespeare,6975
Tomaso\'s Fortune and Other Stories,Henry Seton Merriman,6974
The Boy Aviators\' Polar Dash,John Henry Goldfrap,6973
Lays from the West,M. A. Nicholl,6972
Judaism,Israel Abrahams,6971
The History of a Mouthful of Bread,Jean Mace,6970
"History of the Reign of Ferdinand and Isabella, Volume 3,                 6968\r\",William H. Prescott,NaN
"History of the Reign of Ferdinand and Isabella, Volume 2,                 6967\r\",William H. Prescott,NaN
Traite\' General de la Cuisine Maigre,par Auguste Helie,6966
Alice Sit-By-The-Fire,J. M. Barrie,6965
Telling Fortune,"Tea Leaves,",NaN
"Elson Grammar School Literature, Book Four",William H. Elson,6963
"Military Reminiscences of the Civil War, Vol. 2",Jacob Dolson Cox,6962
"Military Reminiscences of the Civil War, Vol. 1",Jacob Dolson Cox,6961
A Narrative of the Life of Mrs. Mary Jemison,James E. Seaver,6960
Myne eerste vlerken,Eugeen Edward Stroobant,6959
Frank on the Lower Mississippi,Harry Castlemon,6958
Canada and Other Poems,T. F. Young,6957
In Divers Tones,Charles G. D. Roberts,6956
The Prince and Betty,P. G. Wodehouse,6955
Aikenside,Mary J. Holmes,6954
By England\'s Aid,G. A. Henty,6953
By Pike and Dyke,G. A. Henty,6952
The Voyage of the Beagle,Charles Darwin 6951C,NaN
The Bobbsey Twins at the Seashore,Laura Lee Hope,6950
Fiat Money Inflation in France,Andrew Dickson White,6949
The Secrets of the German War Office,Dr. Armgaard Karl Graves,6948
The Rangers,D. P. Thompson,6947
Complete Works of Artemus Ward,Charles F. Browne,6946
Marguerite Verne,Agatha Armour,6945
"The Heart of Mid-Lothian, Complete",Sir Walter Scott,6944
"The Heart of Mid-Lothian, Vol. 2",Sir Walter Scott,6943
"The Heart of Mid-Lothian, Vol. 1",Sir Walter Scott,6942
"Old Mortality, Complete",Sir Walter Scott,6941
"Old Mortality, Vol. 2",Sir Walter Scott,6940
"Old Mortality, Vol. 1",Sir Walter Scott,6939
"Rime di Tullia d\'Aragona, cortigiana del secolo 16,                       6938\r\",Tullia d\' Aragona,NaN
A Biography of Edmund Spenser,John W. Hales,6937
Robinson Crusoe in Words of One Syllable,Mary Godolphin,6936
The Radio Amateur\'s Hand Book,A. Frederick Collins,6935
The Radio Amateur\'s Hand Book,A. Frederick Collins,6934
"The Jesuits in North America in the Seventeenth Century,                  6933\r\",Francis Parkman,NaN
Pictures Every Child Should Know,Dolores Bacon,6932
"Sunny Memories of Foreign Lands, Vol. 2",Harriet Beecher Stowe,6931
"The Faerie Queene, Volume 1",Edmund Spenser 6930C,NaN
Poemata,John Milton,6929
Who Wrote the Bible?,Washington Gladden,6928
The White Feather,P. G. Wodehouse,6927
Memories of Hawthorne,Rose Hawthorne Lathrop,6926
The History of Thomas Ellwood,Thomas Ellwood,6925
Richard III,William Shakespeare,6924
The Miser (L\'Avare),Moliere,6923
De Liereman,L. Schipper,6922
Temporal Power,Marie Corelli,6921
Darwiniana,Thomas Henry Huxley,6919
"History of the Reign of Ferdinand and Isabella, Vol. 1,                   6918\r\",William H. Prescott,NaN
The Gerrard Street Mystery and Other Weird Tales,John Charles Dent,6917
English Men of Letters: Coleridge,H. D. Traill,6916
In Camp on the Big Sunflower,Lawrence J. Leslie,6915
The Last of the Huggermuggers,Christopher Pierce Cranch,6914
Voyages of Peter Esprit Radisson,Peter Radisson,6913
School and Home Cooking,Carlotta C. Greer,6912
The Majesty of Calmness,William George Jordan,6911
"Life of Her Most Gracious Majesty the Queen, Vol. 1",Sarah Tytler,6910
Old Caravan Days,Mary Hartwell Catherwood,6909
The Air Ship Boys,H.L. Sayler,6908
From Wealth to Poverty,Austin Potter,6907
The Lost Trail,Edward S. Ellis,6906
The Boy Aviators in Africa,Wilbur Lawton,6905
Boy Scouts in an Airship,G. Harvey Ralphson,6904
Miss Ludington\'s Sister,Edward Bellamy,6903
On the Eve,Ivan Turgenev,6902
The Happy Adventurers,Lydia Miller Middleton,6901
Rudin,Ivan Turgenev,6900
The Children\'s Pilgrimage,L. T. Meade,6899
The Boys of Columbia High on the Gridiron,Graham B. Forbes,6898
The Little Savage,Captain Marryat,6897
Brief History of the United States,John Bach McMaster,6896
Campfire Girls Go Motoring,Hildegard G. Frey,6895
Chimes of Mission Bells,Maria Antonia Field,6894
In the Quarter,Robert W. Chambers,6893
"Mitteilungen aus den Memoiren des Satan, Complete",Wilhelm Hauff,6892
"Mitteilungen aus den Memoiren des Satan, Vol. 2",Wilhelm Hauff,6891
"Mitteilungen aus den Memoiren des Satan, Vol. 1",Wilhelm Hauff,6890
Laokoon,Gotthold Ephraim Lessing,6889
"History of the Gatling Gun Detachment, Fifth Army Corps,                  6888\r\n At Santiago",John H. Parker,NaN
Il Sacro Macello di Valtellina,Cesare Cantu,6887
First Footsteps in East Africa,Richard F. Burton,6886
The Indolence of the Filipino,Jose Rizal,6885
Sleeping Fires,Gertrude Atherton,6884
Life of Venerable Sister Margaret Bourgeois,Anonymous,6883
This Simian World,"Clarence Day, Jr.",6882
Notebook of an English Opium-Eater,Thomas de Quincey,6881
The Coming of Bill,P. G. Wodehouse,6880
The Gold Bat,P. G. Wodehouse,6879
The Head of Kay\'s,P. G. Wodehouse,6877
"The British Association\'s visit to Montreal, 1884: Letters,               6876\r\",Clara Rayleigh,NaN
Count Frontenac and New France under Louis XIV,Francis Parkman,6875
Canada and the States,Edward William Watkin,6874
Mark Twain,Archibald Henderson,6873
The Battle Ground,Ellen Glasgow,6872
Opus 59 Number 3,Ludwig van Beethoven,6871
Why We are at War,Woodrow Wilson,6870
The American Goliah,Anonymous,6869
Why and how: a hand-book for the use of the W. C. T.                      6868\r\n unions in Canada,Addie Chisholm,NaN
"Lineage, Life, and Labors of Jose Rizal, Philippine Patriot,              6867\r\",Austin Craig,NaN
The Story of Siegfried,James Baldwin,6866
Four Years,William Butler Yeats,6865
Average Jones,Samuel Hopkins Adams,6864
"Chronicles of Canada, Vol. 10 of 32, The Passing of New France:           6863\r\n A Chronicle of Montcalm",William Wood,NaN
The Belted Seas,Arthur Colton,6862
Vautrin,Honore de Balzac,6861
Keineth,Jane D. Abbott,6860
Songs of Labor and Other Poems,Morris Rosenfeld,6859
Grace Harlowe\'s Second Year at Overton College,Jessie Graham Flower,6858
Indian Games,Andrew McFarland Davis,6857
The Great Riots of New York 1712 to 1873,J. T. Headley,6856
Ideala,Sarah Grand,6855
Anne Bradstreet and Her Time,Helen Campbell,6854
Betty Gordon in Washington,Alice B. Emerson,6853
Venus in Furs,Ritter von Leopold Sacher-Masoch,6852
Ruth Fielding at Snow Camp,Alice B. Emerson,6851
Esther,Rosa Nouchette Carey,6850
"The Prince of India, Volume 2",Lew Wallace,6849
"The Prince of India, Volume 1",Lew Wallace,6848
Cytherea,Joseph Hergesheimer,6847
My Lady of the North,Randall Parrish,6846
The Whistling Mother,Grace S. Richmond,6845
The Poetical Works of Mrs. Leprohon,Rosanna Eleanor Leprohon,6844
Tecumseh: A Drama,Charles Mair,6843
Sadhana,Rabindranath Tagore,6842
Mosaics of Grecian History,Marcius Willson,6841
Queen Lucia,E. F. Benson,6840
The Old Roman World,John Lord,6839
Le Dernier Jour d\'un Condamné,Victor Hugo,6838
The Little Warrior,P. G. Wodehouse,6837
Three Men and a Maid,P. G. Wodehouse,6836
Zerbin,Jacob Michael Reinhold Lenz,6835
"Wissenshaft der Logik, Vol. 2",Georg Wilhelm Friedrich Hegel,6834
"Der Waldbruder, ein Pendant zu Werthers Leiden,                           6833\r\",Jacob Michael Reinhold Lenz,NaN
Die Soldaten,Jacob Michael Reinhold Lenz,6832
Oden,Gotthold Ephraim Lessing,6831
Der Landprediger,Jakob Michael Reinhold Lenz,6830
"Works, Vol. 3",Lucian of Samosata,6829
"The Works of Henry Fielding, Vol. 12, Miscellanies, Part 2                6828\r\n \r\nThe Boy Scouts of the Air on Lost Island",Gordon Stuart,6827
Neville Trueman the Pioneer Preacher,William Henry Withrow,6826
"Voyages of Samuel de Champlain, Vol. 3",Samuel de Champlain,6825
Mary Anerley,R. D. Blackmore,6824
"Army Letters from an Officer\'s Wife, 1871-1888",Frances M. A. Roe,6823
Lieder von Lessing,Gotthold Ephraim Lessing,6822
Der Hofmeister,Jacob Michael Reinhold Lenz,6821
Ausgewaehlte Gedichte,Gotthold Ephraim Lessing,6820
Der Englander,Jacob Michael Reinhold Lenz,6819
The Arctic Prairies,Ernest Thompson Seton,6818
Chaitanya and the Vaishnava Poets of Bengal,John Beames,6817
Canadian Wild Flowers,Helen M. Johnson,6816
Old Spookses\' Pass,Isabella Valancy Crawford,6815
The Curlytops at Uncle Frank\'s Farm,Howard R. Garis,6814
Lost in the Backwoods,Catherine Parr Traill,6813
"Abraham Lincoln: A History, Vol. 1","('John G. Nicolay', 'John Hay')",6812
The Life of Abraham Lincoln,Henry Ketcham,6811
Christopher Columbus,Mildred Stapley,6810
The Doctor\'s Daughter,"""Vera""",6809
Woman on the American Frontier,William Worthington Fowler,6808
Pickle the Spy,Andrew Lang,6807
The Hallam Succession,Amelia Edith Barr,6806
The Mill Mystery,Anna Katharine Green,6805
A General History for Colleges and High Schools,P. V. N. Myers,6804
Algonquin Legends of New England,Charles Godfrey Leland,6803
White Slaves,Louis A Banks,6802
Beverly of Graustark,George Barr McCutcheon,6801
The Philosophical Letters,Frederich Schiller,6799
The Aesthetical Essays,Frederich Schiller,6798
Suppressed Poems,Frederich Schiller,6797
Poems of The Third Period,Frederich Schiller,6796
Poems of The Second Period,Frederich Schiller,6795
Poems of The First Period,Frederich Schiller,6794
The Bride of Messina,Frederich Schiller,6793
The Maid of Orleans,Frederich Schiller,6792
Mary Stuart,Frederich Schiller,6791
Demetrius,Frederich Schiller,6790
Don Carlos,Frederich Schiller,6789
Wilhelm Tell,Frederich Schiller,6788
The Death of Wallenstein,Frederich Schiller,6787
The Piccolomini,Frederich Schiller,6786
The Camp of Wallenstein,Frederich Schiller,6785
Love and Intrigue,Frederich Schiller,6784
"Fiesco or, The Genoese Conspiracy",Frederich Schiller,6783
The Robbers,Frederich Schiller,6782
"Ghost-Seer (or The Apparitionist), and Sport of Destiny,                  6781\r\",Frederich Schiller,NaN
"The Revolt of The Netherlands, Complete",Frederich Schiller,6780
"The Revolt of Netherlands, Vol. 4",Frederich Schiller,6779
"The Revolt of Netherlands, Vol. 3",Frederich Schiller,6778
"The Revolt of Netherlands, Vol. 2",Frederich Schiller,6777
"The Revolt of Netherlands, Vol. 1",Frederich Schiller,6776
"The Thirty Years War, Complete",Frederich Schiller,6775
"The Thirty Years War, Vol. 5",Frederich Schiller,6774
"The Thirty Years War, Vol. 4",Frederich Schiller,6773
"The Thirty Years War, Vol. 3",Frederich Schiller,6772
"The Thirty Years War, Vol. 2",Frederich Schiller,6771
"The Thirty Years War, Vol. 1",Frederich Schiller,6770
The People Of The Mist,H. Rider Haggard,6769
The Man Upstairs,P. G. Wodehouse,6768
Formation of the Union,Albert Bushnell Hart,6767
The Press-Gang Afloat and Ashore,John R. Hutchinson,6766
Mogens and Other Stories,Jens Peter Jacobsen,6765
Army Life in a Black Regiment,Thomas Wentworth Higginson,6764
The Poetics (On the Art of Poetry),Aristotle,6763
Politics: A Treatise on Government,Aristotle,6762
"The Adventures of Ferdinand Count Fathom, Complete",Tobias Smollett,6761
"The Adventures of Ferdinand Count Fathom, Part 2",Tobias Smollett,6760
"The Adventures of Ferdinand Count Fathom, Part 1",Tobias Smollett,6759
The Adventures of Sir Launcelot Greaves,Tobias Smollett,6758
"Fanny, the Flower-Girl",Selina Bunbury,6757
Little Memoirs of the 19th Century,George Paston,6756
Canada for Gentlemen,James Seton Cockburn,6755
The Tale of Brownie Beaver,Arthur Scott Bailey,6754
Psmith in the City,P. G. Wodehouse,6753
Study and Stimulants,A. Arthur Reade,6752
Winds of the World,Talbot Mundy,6751
The Hawaiian Archipelago,Isabella L. Bird,6750
The Voyages of Samuel de Champlain,Volume 2,6749
Fulco de minstreel,C. Joh Kieviet,6748
The Log of the Empire State,Geneve L.A. Shaffer,6747
The Grey Fairy Book,Various,6746
Miss Parloa\'s New Cook Book,Maria Parloa,6745
Apology of the Augsburg Confession,Philip Melanchthon,6744
Colonel Carter of Cartersville,F. Hopkinson Smith,6743
The School for Husbands,Molière,6742
"Memoirs of the Life of the Rt. Hon. Richard Brinsley Sheridan,            6741\r\n Vol. 1",Thomas Moore,NaN
Don Garcia of Navarre,Molière,6740
Les Caves du Vatican,André Gide,6739
The Four Canadian Highwaymen,Joseph Edmund Collins,6738
The Social Cancer,José Rizal,6737
Shakespeare und die Bacon-Mythen,Kuno Fischer,6736
Over the Border: Acadia,Eliza Chase,6735
Drusilla with a Million,Elizabeth Cooper,6734
Memoir,Fr. Vincent de Paul,6733
Lady\'s Life on a Farm in Manitoba,Mrs. Cecil Hall,6732
The Duenna,Richard Brinsley Sheridan,6731
Observations of a Retired Veteran,Henry C. Tinsley,6730
"Wissenschaft der Logik, Erster Teil",Georg Wilhelm Friedrich Hegel,6729
Rede zum Schuljahresabschluß,Georg Wilhelm Friedrich Hegel,6728
England Under the Tudors,Arthur D. Innes,6727
Lichtenstein,Wilhelm Hauff,6726
Othello,Wilhelm Hauff,6725
Kater Martinchen,Ernst Moritz Arndt,6724
Prinz Friedrich von Homburg,Heinrich von Kleist,6723
The Seven who were Hanged,Leonid Andreyev,6722
The Voyages of Captain Scott,Charles Turley,6721
The Wentworth Letter,Joseph Smith,6720
The Earth Trembled,E. P. Roe,6719
Cap\'n Dan\'s Daughter,Joseph C. Lincoln,6718
Through Space to Mars,Roy Rockwood,6717
The Spirit of 1906,George W. Brooks,6716
Isobel,James Oliver Curwood,6715
Dave Dashaway and his Hydroplane,Roy Rockwood,6714
God\'s Answers,Clara M. S. Lowe,6713
Akbar,Petrus Abraham Samuel van Limburg Brouwer,6712
Philip Dru: Administrator,Edward Mandell House,6711
"The Evolution of Man, Vol.2",Ernst Haeckel,6710
A Strange Manuscript Found in a Copper Cylinder,James De Mille,6709
China,Demetrius Charles Boulger,6708
St. Patrick\'s Day,Richard Brinsley Sheridan,6707
The Emancipation of Massachusetts,Brooks Adams,6706
Mrs. Shelley,Lucy M. Rossetti,6705
A Domestic Problem,Ab,NaN
Favorite Dishes,Carrie V. Shuman,6703
Life of Harriet Beecher Stowe Compiled from Her Letters                   6702\r\n and Journals,Charles Edward Stowe,NaN
"Sidonia the Sorceress, Vol. 2",Milliam Meinhold,6701
"Sidonia the Sorceress, Vol. 1",William Meinhold,6700
Inns and Taverns of Old London,Henry C. Shelley,6699
Phänomenologie des Geistes,Georg Wilhelm Friedrich Hegel,6698
Once Upon A Time In Connecticut,Caroline Clifford Newton,6697
"Die Leute von Seldwyla, Vol. 1",Gottfried Keller,6696
Tales of the Jazz Age,F. Scott Fitzgerald,6695
In Midsummer Days and Other Tales,August Strindberg,6694
People of Africa,Edith A. How,6693
Swiss Family Robinson Told in Words of One Syllable,Mary Godolphin,6692
Discours civiques de Danton,Georges Jacques Danton,6691
The Revolution in Tanner\'s Lane,Mark Rutherford,6690
Fielding,Austin Dobson,6689
The Mill on the Floss,George Eliot,6688
From the Caves and Jungles of Hindostan,Helena Pretrovna Blavatsky,6687
The Gardener,Rabindranath Tagore,6686
"Story Hour Readers, Book Three","('Ida Coe', 'Alice Christie Dillon')",6685
Uneasy Money,P. G. Wodehouse,6684
The Little Nugget,P. G. Wodehouse,6683
Nets to Catch the Wind,Elinor Wylie,6682
Sganarelle,Molière,6681
The Bores,Molière,6680
The Old Stone House,Anne March,6679
Nonsenseorship,"('G. G. Putnam', 'Others')",6678
"Seventy-Five Receipts for Pastry Cakes, and Sweetmeats",Miss Leslie,6677
Rosy,Mrs. Molesworth,6676
The Loss of the S. S. Titanic,Lawrence Beesley,6675
Umbrellas and their History,William Sangster,6674
Young Knights of the Empire,Sir Robert Baden-Powell,6673
The Caesars,Thomas de Quincey,6672
"Life of Edward Earl of Clarendon,  Vol. 2",Henry Craik,6671
Christmas Eve,Robert Browning,6670
Godliness,Catherine Booth,6669
"Annette, The Metis Spy",Joseph Edmund Collins,6668
Poems of Power,Ella Wheeler Wilcox,6667
"Hello, Boys!",Ella Wheeler Wilcox,6666
"The United States of America, Part 1",Edwin Erle Sparks,6665
The Story of a Child,Pierre Loti,6664
Life in Canada Fifty Years Ago,Canniff Haight,6663
Little Citizens,Myra Kelly,6662
"Waverley, Volume 12",Sir Walter Scott,6661
"Theological Essays and Other Papers, Vol. 2",Thomas de Quincey,6660
History of King Charles II of England,Jacob Abbott,6659
Owindia,Charlotte Selina Bompas,6658
The Theology of Holiness,Dougan Clark,6657
The Kiltartan Poetry Book,Lady Gregory,6656
Tom Slade,Percy K. Fitzhugh,6655
Der Verschwender,Ferdinand Raimund,6654
The Voyages of Samuel de Champlain,Volume 1,6653
The Humourous Poetry of the English Language,James Parton,6652
Immensee,Theodor W. Storm,6651
Immensee,Theodore W. Storm,6650
Einige Gedichte,Johann Christoph Friedrich von Schiller,6649
Penthesilea,Heinrich von Kleist,6648
Der zerbrochene Krug,Heinrich von Kleist,6647
Das Käthchen von Heilbronn,Heinrich von Kleist,6646
Ausgewählte Schriften,Heinrich von Kleist,6645
Der Barometermacher auf der Zauberinsel,Ferdinand Raimund,6644
Das Mädchen aus der Feenwelt,Ferdinand Raimund,6643
Die gefesselte Phantasie,Ferdinand Raimund,6642
Märchen und Sagen,Ernst Moritz Arndt,6641
Märchen-Almanach auf das Jahr 1828,Wilhelm Hauff,6640
Märchen-Almanach auf das Jahr 1827,Wilhelm Hauff,6639
Märchen-Almanach auf das Jahr 1826,Wilhelm Hauff,6638
Der Alpenkönig  und der Menschenfeind,Ferdinand Raimund,6637
"Hold Up Your Heads, Girls!",Annie H. Ryder,6636
A Romance of Billy-Goat Hill,Alice Hegan Rice,6635
"A Popular History of Ireland, Vols. 1 & 2",Thomas D\'Arcy McGee,6634
"A Popular History of Ireland, Vol. 2",Thomas D\'Arcy,6633
"A Popular History of Ireland, Vol. 1",Thomas D\'Arcy,6632
"Title: The Sculpture and Mural Decorations of the Exposition,             6631\r\",Stella G. S. Perry,NaN
Curiosities of the Sky,Garrett Serviss,6630
Mr. Midshipman Easy,Frederick Marryat,6629
"The Life, Crime and Capture of John Wilkes Booth,                         6628\r\",George Alfred Townsend,NaN
Barriers Burned Away,E. P. Roe,6627
Therese Raquin,Emile Zola,6626
The Coming of the Friars,Augustus Jessopp,6625
Ancient China Simplified,Edward Harper Parker,6624
The Coming of the Princess and Other Poems,Kate Seymour Maclean,6623
Legends That Every Child Should Know,Hamilton Wright Mabie,6622
Poems of the Heart and Home,J. C. Yule,6621
The Time Machine,H. G. Wells 6620C,NaN
Poems and Songs,Bjornstjerne Bjornson,6619
Gwaith Mynyddog.  Cyfrol II,Mynyddog,14547
"Punch, Vol. 102, April 30, 1892, Ed",Francis Burnand,14544
La Chevre Jaune,Paul De Musset,14539
Christmas with Grandma Elsie,Martha Finley [a.k.a.: Martha Farquharson],14534
