A Child's Dream of a Star,Charles Dickens,42232,http://www.gutenberg.org/files/42232/42232.txt
Children in Prison and Other Cruelties of Prison Life,Oscar Wilde,42104,http://www.gutenberg.org/files/42104/42104.txt
The Letters of Jane Austen,Jane Austen,42078,http://www.gutenberg.org/files/42078/42078.txt
Impressions of America,Oscar Wilde,41806,http://www.gutenberg.org/files/41806/41806.txt
Dan Carter and the River Camp,Mildred A. Wirt,41262,http://www.gutenberg.org/files/41262/41262.txt
Dan Carter and the Money Box,Mildred A. Wirt,41261,http://www.gutenberg.org/files/41261/41261.txt
Dan Carter Cub Scout,Mildred A. Wirt,41260,http://www.gutenberg.org/files/41260/41260.txt
Dan Carter and the Haunted Castle,Mildred A. Wirt,41259,http://www.gutenberg.org/files/41259/41259.txt
"Felix Holt, The Radical",George Eliot,40882,http://www.gutenberg.org/files/40882/40882.txt
Barty Crusoe and His Man Saturday,Frances Hodgson Burnett,40764,http://www.gutenberg.org/files/40764/40764.txt
The Battle of Life,Charles Dickens,40723,http://www.gutenberg.org/files/40723/40723.txt
Dan Carter and the Great Carved Face,Mildred A. Wirt,40722,http://www.gutenberg.org/files/40722/40722.txt
Dan Carter and the Cub Honor,Mildred A. Wirt,40721,http://www.gutenberg.org/files/40721/40721.txt
The Wanderings of a Spiritualist,Arthur Conan Doyle,39718,http://www.gutenberg.org/files/39718/39718.txt
Paris and the Parisians in 1835 (Vol. 2 of 2),Frances Trollope,39710,http://www.gutenberg.org/cache/epub/39710/pg39710.txt
The Letters of Henry James (volume I),Henry James,38776,http://www.gutenberg.org/files/38776/38776.txt
Croxley Master: A Great Tale Of The Prize Ring,Arthur Conan Doyle,38443,http://www.gutenberg.org/files/38443/38443.txt
Notes of a Son and Brother,Henry James,38424,http://www.gutenberg.org/files/38424/38424.txt
The Guards Came Through and Other Poems,Arthur Conan Doyle,38071,http://www.gutenberg.org/files/38071/38071.txt
Eight or Nine Wise Words about Letter-Writing,Lewis Carroll,38065,http://www.gutenberg.org/files/38065/38065.txt
"The Letters of Henry James, Vol. II",Henry James,38035,http://www.gutenberg.org/files/38035/38035.txt
Raison et Sensibilit?tome quatri?),Jane Austen,37634,http://www.gutenberg.org/cache/epub/37634/pg37634.txt
Lady Barbarina,Henry James,37627,http://www.gutenberg.org/files/37627/37627-0.txt
The Cricket on the Hearth,Charles Dickens,37581,http://www.gutenberg.org/files/37581/37581.txt
Within the Rim and Other Essays,Henry James,37425,http://www.gutenberg.org/files/37425/37425.txt
Views and Reviews,Henry James,37424,http://www.gutenberg.org/files/37424/37424.txt
A Little Princess,Frances Hodgson Burnett,37332,http://www.gutenberg.org/files/37332/37332.txt
Charles Dickens' Children Stories,Charles Dickens,37121,http://www.gutenberg.org/files/37121/37121.txt
The Princess and Curdie,George MacDonald,36612,http://www.gutenberg.org/files/36612/36612.txt
The Widow Barnaby,Frances Trollope,36563,http://www.gutenberg.org/files/36563/36563.txt
The Widow Barnaby,Frances Trollope,36562,http://www.gutenberg.org/files/36562/36562.txt
The Widow Barnaby,Frances Trollope,36561,http://www.gutenberg.org/files/36561/36561.txt
La guardia blanca,Arthur Conan Doyle,36453,http://www.gutenberg.org/cache/epub/36453/pg36453.txt
A Princess of Mars,Edgar Rice Burroughs,36102,LINK NOT FOUND
Rodney Stone,Arthur Conan Doyle,36050,LINK NOT FOUND
A Lowden Sabbath Morn,Robert Louis Stevenson,35546,http://www.gutenberg.org/files/35546/35546.txt
The Poems and Verses of Charles Dickens,Charles Dickens,35536,http://www.gutenberg.org/files/35536/35536.txt
Feeding the Mind,Lewis Carroll,35535,http://www.gutenberg.org/files/35535/35535.txt
Three Sunsets and Other Poems,Lewis Carroll,35497,http://www.gutenberg.org/files/35497/35497.txt
Louisiana,Frances Hodgson Burnett,35300,http://www.gutenberg.org/files/35300/35300.txt
Raison et sensibilit?tome troisi?),Jane Austen,35163,http://www.gutenberg.org/cache/epub/35163/pg35163.txt
Raison et sensibilit?tome second),Jane Austen,35151,http://www.gutenberg.org/cache/epub/35151/pg35151.txt
Swamp Island,Mildred A. Wirt,35083,http://www.gutenberg.org/files/35083/35083.txt
Saboteurs on the River,Mildred A. Wirt,35082,http://www.gutenberg.org/files/35082/35082.txt
Whispering Walls,Mildred A. Wirt,34975,http://www.gutenberg.org/files/34975/34975.txt
Signal in the Dark,Mildred A. Wirt,34850,http://www.gutenberg.org/files/34850/34850.txt
Voice from the Cave,Mildred A. Wirt,34832,http://www.gutenberg.org/files/34832/34832.txt
Guilt of the Brass Thieves,Mildred A. Wirt,34831,http://www.gutenberg.org/files/34831/34831.txt
Intentions,Oscar Wilde,34767,http://www.gutenberg.org/files/34767/34767-0.txt
Hoofbeats on the Turnpike,Mildred A. Wirt,34691,http://www.gutenberg.org/files/34691/34691.txt
The Wishing Well,Mildred A. Wirt,34689,http://www.gutenberg.org/files/34689/34689.txt
The Secret Pact,Mildred A. Wirt,34682,http://www.gutenberg.org/files/34682/34682.txt
Behind the Green Door,Mildred A. Wirt,34592,http://www.gutenberg.org/files/34592/34592.txt
Clue of the Silken Ladder,Mildred A. Wirt,34591,http://www.gutenberg.org/files/34591/34591.txt
Danger at the Drawbridge,Mildred A. Wirt,34552,http://www.gutenberg.org/files/34552/34552.txt
The Clock Strikes Thirteen,Mildred A. Wirt,34403,http://www.gutenberg.org/files/34403/34403.txt
Ghost Beyond the Gate,Mildred A. Wirt,34395,http://www.gutenberg.org/files/34395/34395.txt
The Princess and the Goblin,George MacDonald,34339,http://www.gutenberg.org/files/34339/34339.txt
Rhyme? And Reason?,Lewis Carroll,33582,http://www.gutenberg.org/files/33582/33582.txt
The Spoils of Poynton,Henry James,33325,http://www.gutenberg.org/files/33325/33325.txt
"The Treaty With China, its Provisions Explained",Mark Twain,33077,http://www.gutenberg.org/files/33077/33077-0.txt
The Black Arrow,Robert Louis Stevenson,32954,http://www.gutenberg.org/files/32954/32954.txt
The Sacred Fount,Henry James,32939,http://www.gutenberg.org/files/32939/32939.txt
The Middle Years,Henry James,32649,http://www.gutenberg.org/files/32649/32649.txt
The Adventures of Huckleberry Finn,Mark Twain,32325,http://www.gutenberg.org/files/32325/32325.txt
The Complete Project Gutenberg Works of Jane Austen,Jane Austen,31100,http://www.gutenberg.org/files/31100/31100.txt
Les Aventures De Tom Sawyer,Mark Twain,30890,http://www.gutenberg.org/cache/epub/30890/pg30890.txt
"Works of Robert Louis Stevenson, Volume XXI",Robert Louis Stevenson,30650,http://www.gutenberg.org/files/30650/30650.txt
"Works of Robert Louis Stevenson, Volume XV",Robert Louis Stevenson,30643,http://www.gutenberg.org/files/30643/30643.txt
"Works of Robert Louis Stevenson, Volume 9",Robert Louis Stevenson,30598,http://www.gutenberg.org/files/30598/30598.txt
