year,has,have
1800,0.0016773882089182734,0.0037989913253113627
1801,0.0016505016246810555,0.0037573011592030524
1802,0.0016087350668385625,0.0037116174741337695
1803,0.0016269853305337684,0.003744834036167179
1804,0.0016281990434176155,0.003731665134962116
1805,0.001622535421379975,0.0037444309065384524
1806,0.001638974778221122,0.0038151650889111416
1807,0.0016187328479385801,0.003792869026905724
1808,0.001622078358195722,0.0038261866928743465
1809,0.001638776356620448,0.0038842221588960718
1810,0.0016164301196113229,0.003851913082014237
1811,0.0015924123082576053,0.0038603112833308323
1812,0.0015702278719150595,0.003785002910132919
1813,0.0015509758876370533,0.00374741163770003
1814,0.0015590475772374443,0.0037441191463066
1815,0.0015583836107647844,0.0036961684402610573
1816,0.001586761392120804,0.00366792781278491
1817,0.0015664676403892891,0.003672191307746938
1818,0.0015716430498287082,0.0036677596757986714
1819,0.0015598814435569303,0.0036821881242628607
1820,0.0015799067082947918,0.0037085271573492457
1821,0.0015871395589783788,0.003753409188772951
1822,0.0016029451674382602,0.0037999306140201433
1823,0.0015683588405538882,0.0037925420328974724
1824,0.0015899826373372758,0.003797258483245969
1825,0.0016008134698495269,0.0038430249052388327
1826,0.001614540915137955,0.0038493616240365164
1827,0.0015892130655369588,0.0038587522160794053
1828,0.0015849436500242778,0.0038254548063767807
1829,0.001602292526513338,0.0038426739296742846
1830,0.001642479544638523,0.003902259249506252
1831,0.0016642424078392132,0.003924228317503419
1832,0.0016950889922944562,0.003937349787780217
1833,0.0017152924556285143,0.003946904924565128
1834,0.0017475876957178116,0.003967715793156198
1835,0.0017737279579575574,0.0039896106879626
1836,0.00176000057919217,0.004004315805754491
1837,0.0017532094747626356,0.003973159473389387
1838,0.0017433120935623134,0.00395495118573308
1839,0.0017298610847709434,0.003919965121895075
1840,0.001741871819831431,0.00391015673189291
1841,0.0017279790315244878,0.0038673734026295798
1842,0.0017079662731183426,0.0038482932639973505
1843,0.001720218253987176,0.0038119233545980285
1844,0.0017121924819158657,0.003795662662014365
1845,0.0017197327688336372,0.0037878057254212244
1846,0.0017157562875321933,0.0037681501624839647
1847,0.0017025973481525267,0.0037521955091506243
1848,0.001707192776458604,0.003734293593359845
1849,0.0017190839197220547,0.0037158389376210316
1850,0.001720196717152638,0.003731137208108391
1851,0.0017402350204065442,0.0037233507526772363
1852,0.0017461116824831282,0.0037133413633065565
1853,0.0017519723790298616,0.003711027292800801
1854,0.0017473130387121014,0.003697751522330301
1855,0.0017537151829206518,0.0036910855144794497
1856,0.001753367333939033,0.0036822480615228415
1857,0.0017504537744181497,0.003648086218163371
1858,0.0017408861978245632,0.0036399069109133314
1859,0.001742426721778299,0.0036548086375530276
1860,0.0017469505546614528,0.0036528093540774925
1861,0.0017452654262472475,0.0036509009743375437
1862,0.0017407110426574945,0.0036463236901909113
1863,0.0017462526946993811,0.0036429300172520535
1864,0.0017427111244095223,0.003620062821677753
1865,0.0017536622305799807,0.0036117822330977234
1866,0.0017603316311059253,0.003581308659964374
1867,0.0017690396967477032,0.0035760951161916766
1868,0.0017810520283611758,0.0035888678061642815
1869,0.0018019488447212747,0.0035890830414635794
1870,0.0018178238533437252,0.003591865467439805
1871,0.0018290168372914195,0.0036070276317851885
1872,0.001829350450342255,0.0036118218808301856
1873,0.001830061781220138,0.003613051925120609
1874,0.0018246589793956705,0.0035961814490812166
1875,0.001836195687896439,0.003569202364555427
1876,0.0018382354672732098,0.003553892618843487
1877,0.0018339678811441576,0.003537584062931793
1878,0.0018405524814235313,0.003514698340690562
1879,0.0018444886996543833,0.003496928439874734
1880,0.0018499657910849368,0.0034980775588857277
1881,0.0018675553811980145,0.0034912743140012026
1882,0.001868880753006254,0.003481563480038728
1883,0.0018655164998822979,0.0034589628422898905
1884,0.001863978270973478,0.0034558329664702925
1885,0.0018627586209082178,0.0034505292839769807
1886,0.0018693852304880107,0.0034395647567829917
1887,0.001870638009027711,0.003415327086778624
1888,0.0018796675805268542,0.003427795966022781
1889,0.001884361296626074,0.0034292429086885284
1890,0.0019009777544332401,0.003432157150070582
1891,0.0019125995292727435,0.0034245740555758986
1892,0.0019188265349449857,0.0034169575332530905
1893,0.0019240039234448756,0.0034177840487765415
1894,0.0019310286069022758,0.003407718813312905
1895,0.0019213112869432994,0.003375042529244508
1896,0.0019163417496851512,0.0033743479621729682
1897,0.0019091354749564613,0.0033812884108296464
1898,0.0019082628589655673,0.003380256937816739
1899,0.0019044650419216072,0.0033701324968465735
1900,0.0019011736481583544,0.0033619676916194813
1901,0.001900784155753042,0.0033631082956812213
1902,0.0019020197547173925,0.003355251858010888
1903,0.00190181759119566,0.003326107481760638
1904,0.0019067266590094992,0.003285168004887445
1905,0.0019171059830114245,0.003260688889505608
1906,0.0019349354385797466,0.003252438236294048
1907,0.0019487786672211119,0.0032334059277283294
1908,0.001959731985282685,0.0032035391445138623
1909,0.0019847983328093377,0.003191103526790227
1910,0.0020115809914256844,0.0031817675501640353
1911,0.002035316944654499,0.0031762384210846256
1912,0.0020590141149503844,0.003162910762642111
1913,0.0020715484528669287,0.0031454104464501143
1914,0.0020905843204153435,0.00314108984145735
1915,0.002107702528259584,0.003140212136453816
1916,0.0021033379515366895,0.003136616699131472
1917,0.0020968143362551928,0.003128627049071448
1918,0.0020890949027878897,0.0031225845949458225
1919,0.002076547293524657,0.003110592852213553
1920,0.002066542860120535,0.003119619729529534
1921,0.002051055198535323,0.0031150225549936295
1922,0.0020307378976472785,0.0031161882715033634
1923,0.0020194283819624354,0.003113972389006189
1924,0.002014253521338105,0.003116168048498886
1925,0.0020044289994984865,0.003117449880976762
1926,0.0019896419253200293,0.0031269455794245005
1927,0.0019788325132269946,0.0031138192862272263
1928,0.0019695942755788565,0.0031069547403603792
1929,0.0019654484931379557,0.003096747810819319
1930,0.0019568808908973423,0.003090514269258295
1931,0.0019481613832925046,0.0030798775343490498
1932,0.0019326800912884729,0.00306952787962343
1933,0.001923069840164057,0.003050682866679771
1934,0.0019161442594070519,0.0030379957585994688
1935,0.0019112646280388748,0.003020988211834005
1936,0.0019129797583445907,0.003006989901353206
1937,0.0019144287299630897,0.0029869014397263527
1938,0.0019156344101897307,0.002967809759346502
1939,0.0019253615256665008,0.002955695381388068
1940,0.0019252857392919914,0.0029441285213189466
1941,0.0019325874080615385,0.0029496680279927595
1942,0.0019366044018949782,0.0029534553842885153
1943,0.0019315582300935472,0.002958074677735567
1944,0.0019231316068076662,0.0029517488021935734
1945,0.0019157193933746644,0.002945939012403999
1946,0.001907117515137153,0.0029364557870264563
1947,0.0019065147332314933,0.0029369581690324204
1948,0.001900420507549175,0.0029262412738587174
1949,0.0018906776094809175,0.0029133704624005725
1950,0.0018845899862104229,0.002896146250090429
1951,0.0018816330370360187,0.0028949955345264505
1952,0.0018786170320319279,0.0028937547135033776
1953,0.0018773733505180904,0.002899594505184463
1954,0.0018772329702707274,0.002896018426067063
1955,0.0018731065460347704,0.002888109867594072
1956,0.0018693117391584174,0.002876205336568611
1957,0.0018725819120715772,0.0028706184322280543
1958,0.0018790255832884992,0.002870900257091437
